Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\HuaweiInverterMODBUS\Project Outputs for HuaweiInverterMODBUS\Generates pick and place files\Pick Place for HuaweiInverterMODBUS.csv

========================================================================================================================
File Design Information:

Date:       26/09/23
Time:       18:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"D7","BAT760-7","TopLayer","511.810","732.284","180"
"D8","CDSOD323-T05SC","BottomLayer","637.796","437.006","270"
"D10","1N4148W T4","BottomLayer","893.700","200.492","270"
"J6","Header-Male-2.54_2x3","TopLayer","1175.591","937.009","0"
"J5","Header-Male-2.54_2x3","TopLayer","1826.772","937.008","0"
"D9","CDSOD323-T05SC","BottomLayer","637.796","263.778","270"
"D1","CDSOD323-T05SC","BottomLayer","637.796","602.360","270"
"D2","BAT760-7","TopLayer","2141.734","980.314","0"
"R24","RES_0603_22OHM_0.1W","BottomLayer","1527.558","633.858","90"
"R23","RES_0603_22OHM_0.1W","BottomLayer","1472.440","633.858","90"
"D12","0603_LED_GREEN_1.8V","TopLayer","1043.306","153.543","270"
"D11","0603_LED_RED_1.9V","TopLayer","976.378","153.543","270"
"R22","RES_0603_10KOHM_0.1W","TopLayer","1263.780","145.670","180"
"C11","CAP_0603_0.1UF_20%_50V_X5R","TopLayer","1264.567","208.662","180"
"C10","CAP0603_22UF_20%_10V_X5R","TopLayer","2039.370","354.330","180"
"C9","CAP_0603_0.1UF_20%_50V_X5R","TopLayer","2039.370","417.322","180"
"SW1","HX TS342A2P WZ 250GF","TopLayer","464.566","133.858","0"
"C5","CAP_0603_0.1UF_20%_50V_X5R","TopLayer","500.000","232.284","0"
"D6","0603_LED_GREEN_1.8V","TopLayer","2503.544","1577.908","180"
"R5","RES_0603_1KOHM_0.1W","BottomLayer","2519.684","1519.684","270"
"U3","ESP32-S3-MINI-1-N4R2","TopLayer","1673.229","508.859","180"
"U2","MAX485EAS","BottomLayer","860.935","442.322","270"
"U1","CD4069UBM/TR","BottomLayer","1227.126","417.322","270"
"SW2","HX TS342A2P WZ 250GF","TopLayer","708.690","133.878","180"
"R21","RES_0603_500OHM_0.1W","TopLayer","1043.306","267.716","270"
"R20","RES_0603_0OHM_0.1W","TopLayer","716.536","866.142","270"
"R19","RES_0603_500OHM_0.1W","TopLayer","978.740","271.654","270"
"R18","RES_0603_0OHM_0.1W","TopLayer","716.534","1074.803","90"
"R17","RES_0603_56KOHM_0.1W","BottomLayer","964.566","236.220","90"
"R16","RES_0603_4.7KOHM_0.1W","TopLayer","606.299","389.764","0"
"R15","RES_0603_120OHM_0.1W","BottomLayer","267.716","437.007","90"
"R14","RES_0603_4.7KOHM_0.1W","TopLayer","606.299","484.252","180"
"R13","RES_0603_4.7KOHM_0.1W","BottomLayer","940.944","594.488","180"
"R12","RES_0603_4.7KOHM_0.1W","BottomLayer","1157.480","625.984","180"
"R11","RES_0603_1KOHM_0.1W","BottomLayer","2169.291","500.000","0"
"R10","RES_0603_10KOHM_0.1W","TopLayer","2098.424","590.551","270"
"R9","RES_0603_47.5KOHM_0.1W","BottomLayer","2299.212","413.386","90"
"R8","RES_0603_10KOHM_0.1W","BottomLayer","484.252","224.410","0"
"R7","RES_0603_22.1KOHM_0.1W","BottomLayer","2240.158","413.386","90"
"R6","RES_0603_10KOHM_0.1W","BottomLayer","488.188","118.110","180"
"R4","RES_0603_5.1KOHM_0.1W","TopLayer","2425.196","1102.362","180"
"R3","RES_0603_5.1KOHM_0.1W","TopLayer","2169.291","814.960","180"
"R2","RES_0603_22OHM_0.1W","TopLayer","2177.166","165.354","180"
"R1","RES_0603_22OHM_0.1W","TopLayer","2216.536","110.236","180"
"Q2","SS8050-G","BottomLayer","360.236","144.292","90"
"Q1","SS8050-G","BottomLayer","635.236","120.078","180"
"J1","USB-C","TopLayer","2394.714","861.222","90"
"IC1","CP2102N-A02-GQFN28","TopLayer","2216.536","342.519","180"
"D5","LESD5D5.0CT1G","TopLayer","2417.323","413.386","180"
"D4","LESD5D5.0CT1G","TopLayer","2511.811","413.386","0"
"D3","LESD5D5.0CT1G","BottomLayer","2313.019","890.752","180"
"C8","CAP_0603_100pF_5%_50V_C0G","BottomLayer","992.126","145.670","0"
"C7","CAP_0603_0.1UF_20%_50V_X5R","BottomLayer","807.086","594.488","180"
"C6","CAP_0603_0.1UF_20%_50V_X5R","TopLayer","744.094","232.284","180"
"C4","CAP_0603_4.7UF_20%_10V_X5R","TopLayer","2322.834","523.622","270"
"C3","CAP_0603_0.1UF_20%_50V_X5R","TopLayer","2377.952","523.622","270"
"C2","CL10A226MP8NUNE","BottomLayer","2086.814","1536.654","270"
"C1","CL10A226MP8NUNE","BottomLayer","2228.346","1259.842","0"
"B2","AMS1117-3.3","BottomLayer","2299.212","1448.819","180"
"V1","V275LA4P","TopLayer","641.732","1417.322","90"
"J4","XY308-2.54-3P","TopLayer","161.418","482.678","90"
"J3","XY308-2.54-2P","TopLayer","161.418","818.898","90"
"J2","WJ126V-5.0-3P","TopLayer","177.166","1299.212","90"
"F3","MF-MSMF010-2","BottomLayer","425.196","354.330","180"
"F2","MF-MSMF010-2","BottomLayer","425.196","527.558","180"
"F1","FUSE_TH_1A_GLASS","TopLayer","645.631","1780.590","0"
"B1","HLK-PM01","TopLayer","1681.102","1464.567","0"
